OBJECTID,EVENT_UNIQUE_ID,OCC_DATE,OCC_YEAR,OCC_MONTH,OCC_DAY,OCC_DOW,OCC_DOY,DIVISION,HOMICIDE_TYPE,HOOD_158,NEIGHBOURHOOD_158,HOOD_140,NEIGHBOURHOOD_140,LONG_WGS84,LAT_WGS84
948,GO-2018725711,2018.04.23,2018,April,23,Monday,113,D32,Other,153,Avondale,51,Willowdale East (51),-79.41055633,43.75994133
949,GO-2018813479,2018.05.06,2018,May,6,Sunday,126,D41,Stabbing,122,Birchcliffe-Cliffside,122,Birchcliffe-Cliffside (122),-79.27874539,43.67476696
950,GO-2018821806,2018.05.07,2018,May,7,Monday,127,D22,Shooting,10,Princess-Rosethorn,10,Princess-Rosethorn (10),-79.55016382,43.67338801
951,GO-2018907125,2018.05.20,2018,May,20,Sunday,140,D43,Shooting,135,Morningside,135,Morningside (135),-79.21618849,43.77541579
952,GO-2018911506,2018.05.20,2018,May,20,Sunday,140,D52,Shooting,170,Yonge-Bay Corridor,76,Bay Street Corridor (76),-79.3785333,43.64838124
953,GO-2018929488,2018.05.23,2018,May,23,Wednesday,143,D14,Stabbing,95,Annex,95,Annex (95),-79.40530147,43.67030253
954,GO-2018945776,2018.05.25,2018,May,25,Friday,145,D55,Stabbing,62,East End-Danforth,62,East End-Danforth (62),-79.30117787,43.67812042
955,GO-2018946587,2018.05.25,2018,May,25,Friday,145,D54,Other,57,Broadview North,57,Broadview North (57),-79.35131725,43.69197817
956,GO-2018965463,2018.05.28,2018,May,28,Monday,148,D53,Shooting,95,Annex,95,Annex (95),-79.39019615,43.6713507
957,GO-2018958547,2018.05.28,2018,May,28,Monday,148,D42,Shooting,145,Malvern West,132,Malvern (132),-79.22422601,43.80448757
958,GO-2018979942,2018.05.30,2018,May,30,Wednesday,150,D52,Shooting,168,Downtown Yonge East,75,Church-Yonge Corridor (75),-79.3803111,43.65645381
959,GO-20181021340,2018.06.05,2018,June,5,Tuesday,156,D22,Shooting,18,New Toronto,18,New Toronto (18),-79.50939452,43.60258044
960,GO-20181046556,2018.06.09,2018,June,9,Saturday,160,D11,Stabbing,84,Little Portugal,84,Little Portugal (84),-79.43290963,43.64781072
961,GO-20181066328,2018.06.09,2018,June,9,Saturday,160,D14,Other,162,West Queen West,82,Niagara (82),-79.4096014,43.64529131
962,GO-20181075301,2018.06.13,2018,June,13,Wednesday,164,D11,Other,86,Roncesvalles,86,Roncesvalles (86),-79.4355444,43.64466444
963,GO-20181091522,2018.06.16,2018,June,16,Saturday,167,D41,Stabbing,123,Cliffcrest,123,Cliffcrest (123),-79.24917359,43.71918512
964,GO-20181106259,2018.06.18,2018,June,18,Monday,169,D53,Other,98,Rosedale-Moore Park,98,Rosedale-Moore Park (98),-79.38581958,43.6715705
965,GO-20181142174,2018.06.23,2018,June,23,Saturday,174,D23,Stabbing,2,Mount Olive-Silverstone-Jamestown,2,Mount Olive-Silverstone-Jamestown (2),-79.58883698,43.73572901
966,GO-20181146367,2018.06.24,2018,June,24,Sunday,175,D32,Shooting,32,Englemount-Lawrence,32,Englemount-Lawrence (32),-79.44354801,43.71877318
967,GO-20181146418,2018.06.24,2018,June,24,Sunday,175,D23,Shooting,3,Thistletown-Beaumond Heights,3,Thistletown-Beaumond Heights (3),-79.57586447,43.73829098
968,GO-20181146418,2018.06.24,2018,June,24,Sunday,175,D23,Shooting,3,Thistletown-Beaumond Heights,3,Thistletown-Beaumond Heights (3),-79.57586447,43.73829098
969,GO-20181152121,2018.06.25,2018,June,25,Monday,176,D51,Shooting,73,Moss Park,73,Moss Park (73),-79.37135298,43.65906716
